DeAndre Jordan,22897200,C,,
Enes Kanter,18622514,C,,
Hassan Whiteside,25434262,C,,
Marc Gasol,24119025,C,,
Nikola Jokic,24605181,C,,
Rudy Gobert,23241573,C,,
Steven Adams,24157303,C,7, is the number of players in the C position
Aaron Gordon,21590909,PF,,
Al Horford,28928709,PF,,
Anthony Davis,25434263,PF,,
Blake Griffin,32088932,PF,,
Giannis Antetokounmpo,24157303,PF,,
Jabari Parker,20000000,PF,,
Joel Embiid,25467250,PF,,
Kevin Love,24119025,PF,,
LaMarcus Aldridge,22347015,PF,,
Paul Millsap,29230769,PF,,
Ryan Anderson,20421546,PF,,
Serge Ibaka,21666667,PF,12,is the number of players in the PF position
Chris Paul,35654150,PG,,
Damian Lillard,27977689,PG,,
George Hill,19000000,PG,,
James Harden,35650150,PG,,
Jeff Teague,19000000,PG,,
John Wall,19169800,PG,,
Jrue Holiday,25976111,PG,,
Kyle Lowry,31200000,PG,,
Kyrie Irving,20099189,PG,,
Mike Conley,30521115,PG,,
Russell Westbrook,35654150,PG,,
Stephen Curry,37457154,PG,,
Zach LaVine,19500000,PG,13,is the number of players in the PG position
Andrew Wiggins,25467250,SF,,
Chandler Parsons,24107258,SF,,
Danilo Gallinari,21587579,SF,,
Gordon Hayward,31214295,SF,,
Harrison Barnes,24107258,SF,,
Kawhi Leonard,23114067,SF,,
Kevin Durant,30000000,SF,,
Otto Porter Jr.,26011913,SF,,
Paul George,30560700,SF,9,is the number of players in the SF position
Bradley Beal,25434263,SG,,
CJ McCollum,25759766,SG,,
DeMar DeRozan,27739975,SG,,
Jimmy Butler,20445779,SG,,
Klay Thompson,18988725,SG,,
Nicolas Batum,24000000,SG,,
Tyler Johnson,19245370,SG,,
Victor Oladipo,21000000,SG,,
Wesley Matthews,18622514,SG,9,is the number of players in the SG position
